Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Watermarks,"0 - Balanced Rock Wall > East Bluff 06 - Balanced Rock > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730307/watermarks,3.4,-1,"Trad, TR",5.8,1,50,43.41436,-89.72504
"Little Feat","East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105734963/little-feat,3.4,-1,"Sport, TR",5.11a,1,80,39.31625,-120.3185
"The Tree Route","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105948012/the-tree-route,3.4,-1,"Trad, TR",5.10a,1,85,38.07178,-81.08006
"Star Dancer","Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714743/star-dancer,3.4,-1,"Sport, TR",5.8,1,105,43.88242,-103.46227
Camel,"Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737252/camel,3.3,-1,"Sport, TR",5.10b,1,50,35.30227,-120.69427
Dementia,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748412/dementia,3.3,-1,"Trad, TR",5.10a,1,,40.0033,-105.3939
"Octopus Garden in the Shade","Octopus Garden > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105963366/octopus-garden-in-the-shade,3.2,-1,"Trad, TR",5.8,1,60,49.7081,-123.1346
"Little Sheeba","Lamb Dome > Mariuolumne Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105916648/little-sheeba,3.3,-1,"Trad, TR",5.10a,1,90,37.87174,-119.42289
"The Stretcher","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730724/the-stretcher,3.3,-1,TR,5.9+,1,40,43.41359,-89.71252
Intertwine,"5. Main Face > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/105905517/intertwine,3.2,-1,"Trad, TR",5.8,1,45,42.51937,-71.85904
"Mouse's Misery","08: Two Pines Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730865/mouses-misery,3.3,-1,"Trad, TR","5.10a R",1,80,43.41367,-89.7134
Flakes,"Ed and Terry Wall > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741680/flakes,3.4,-1,"Trad, TR",5.7,1,110,40.2645,-111.6232
"Psycho Crack Right","m. Crevice right, and Psycho Wall > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/105912513/psycho-crack-right,3.2,-1,"Trad, TR",5.8,1,70,41.73965,-74.21529
"Dance of the Sugar-Plump Faeries","Shovel Point > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105831445/dance-of-the-sugar-plump-faeries,3.2,-1,TR,5.8,1,60,47.33938,-91.18778
"Chouinard's Crack (1st Half Pitch of Peking)","(u) Red Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106633246/chouinards-crack-1st-half-pitch-of-peking,3.2,-1,"Trad, TR",5.9-,1,50,44.3696,-121.13916
"Birch Tree Crack","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730781/birch-tree-crack,3.2,-1,"Trad, TR",5.8,1,50,43.41359,-89.71252
Gargantua,"1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730241/gargantua,3.4,-1,"Trad, TR",5.10b,1,,43.4137,-89.6863
"Uncertainty Principle","Uncertainty Principle Area > Mount Woodson > North SD > San Diego > California",https://www.mountainproject.com/route/105796563/uncertainty-principle,3.9,-1,TR,5.11c,1,35,33.00533,-116.9666
"The Cave","The Cave Area > Mount Woodson > North SD > San Diego > California",https://www.mountainproject.com/route/105796678/the-cave,3.3,-1,TR,5.11a,1,20,33.00805,-116.96778
"Plumb Line","Plumb Line Gully > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740648/plumb-line,3.2,-1,"Trad, TR",5.10a,1,50,40.57437,-111.75696
"Wiessner Face","Wiessner Wall > West Bluff 03 - Cleo Amphitheater > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730283/wiessner-face,3.5,-1,"Trad, TR",5.7,1,40,43.41753,-89.73823
"Birthday Crack","7.2.1 - Birthday Rocks > East Bluff 07 - Railroad Tracks > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730373/birthday-crack,3.2,-1,"Trad, TR",5.7+,1,50,43.41722,-89.72695
Orgasm,"12: Rainy Wednesday Tower > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730823/orgasm,3.2,-1,"Trad, TR",5.8,1,80,43.41361,-89.71457
"The Great Roof","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734687/the-great-roof,3.1,-1,TR,5.10b,1,80,37.2282,-122.1079
Chockstone,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105943705/chockstone,3.1,-1,"Trad, TR",5.9+,1,80,38.07178,-81.08006
"Planet of the Apes","Planet of the Apes Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106239437/planet-of-the-apes,3.1,-1,TR,5.11a,1,70,34.09765,-118.72905
"Left Handed Jew","Turkey Perch > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105749284/left-handed-jew,3.1,-1,"Trad, TR",5.7+,1,70,39.11904,-105.23958
Chicago,"07: Brinton's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730916/chicago,3.1,-1,"Trad, TR","5.9 R",1,60,43.41359,-89.71303
"Northcutt Start","The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748678/northcutt-start,3.1,-1,"Trad, TR",5.10d,1,60,39.9307,-105.283
"Curving Crack","1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730238/curving-crack,3.1,-1,"Trad, TR",5.8,1,,43.4137,-89.6863
"Regular Route","Practice Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748466/regular-route,3.1,-1,"Trad, TR",5.11b,1,,40.0017,-105.4133
